# codepoint<TAB>base_syllable<TAB>tone(1..5)
14456	zha	4
14457	ju	1
14458	dan	4
14459	liao	4
14460	yi	4
14461	zhao	4
14462	xian	4
14463	chi	4
14464	ci	4
14465	chi	3
14466	yan	3
14467	lang	2
14468	dou	4
14469	long	4
14470	chan	2
14472	tui	2
14473	cha	2
14474	ai	3
14475	chi	3
14477	ying	3
14478	zhe	2
14479	tou	2
14481	tui	2
14482	cha	2
14483	yao	3
14484	zong	3
14486	pan	1
14487	qiao	4
14488	lian	2
14489	qin	2
14490	lu	3
14491	yan	4
14492	kang	1
14493	su	1
14494	yi	4
14495	chan	1
14496	jiong	3
14497	jiang	3
14499	jing	4
14501	dong	4
14503	juan	4
14504	han	4
14505	di	4
14508	hong	2
14510	chi	2
14511	diao	1
14512	bi	4
14514	xun	4
14515	lu	2
14517	xie	2
14518	bi	4
14520	bi	4
14522	xian	2
14523	rui	4
14524	bie	4
14525	er	3
14526	juan	4
14528	zhen	4
14529	bei	4
14530	e	4
14531	yu	3
14532	qu	2
14533	zan	4
14534	mi	2
14535	yi	4
14536	si	4
14540	shan	4
14541	tai	2
14542	mu	4
14543	jing	4
14544	bian	4
14545	rong	2
14546	ceng	4
14547	can	4
14548	ding	1
14553	di	2
14554	tong	3
14555	ta	4
14556	xing	2
14557	song	1
14558	duo	2
14559	xi	4
14560	tao	1
14562	ti	2
14563	shan	4
14564	jian	4
14565	zhi	4
14566	wei	1
14567	yin	4
14570	huan	3
14571	zhong	3
14572	qi	4
14573	zong	1
14575	xie	4
14576	xie	4
14577	ze	2
14578	wei	2
14581	ta	4
14582	zhan	1
14583	ning	4
14586	xin	1
14587	yi	4
14588	ren	3
14589	shu	4
14590	cha	4
14591	zhuo	2
14593	mian	3
14594	ji	2
14595	fang	2
14596	pei	4
14597	ai	4
14598	fan	4
14599	ao	3
14600	qin	4
14601	qia	1
14602	xiao	4
14603	fen	1
14604	gan	1
14605	qiao	1
14606	ge	1
14607	tong	2
14608	chan	1
14609	you	4
14610	gao	1
14611	ben	4
14612	fu	4
14613	chu	4
14614	zhu	4
14616	zhou	4
14618	hang	2
14619	nin	2
14620	jue	2
14621	chong	1
14622	cha	4
14623	kong	3
14624	lie	4
14625	li	4
14626	yu	4
14628	yu	2
14629	hai	4
14630	li	4
14631	hou	2
14632	gong	3
14633	ke	4
14634	yuan	4
14635	de	2
14636	hui	4
14638	guang	4
14639	jiong	3
14640	zuo	4
14641	fu	4
14642	qie	4
14643	bei	3
14644	che	4
14645	ci	2
14646	mang	2
14647	han	1
14648	xi	4
14649	qiu	2
14650	huang	3
14653	chou	2
14654	san	4
14655	yan	1
14656	zhi	2
14657	de	2
14658	te	4
14659	men	4
14660	ling	2
14661	shou	4
14662	tui	4
14663	can	2
14664	die	2
14665	che	4
14666	peng	2
14667	yi	1
14668	ju	2
14669	ji	4
14670	lai	2
14671	tian	3
14672	yuan	4
14674	cai	3
14675	qi	1
14676	yu	4
14677	lian	2
14678	cong	1
14682	yu	2
14683	ji	2
14684	wei	4
14685	mi	3
14686	sui	4
14687	xie	2
14688	xu	1
14689	chi	4
14690	qiu	2
14691	hui	4
14693	yu	2
14694	qie	4
14695	shun	4
14696	shui	4
14697	duo	3
14698	lou	2
14700	pang	2
14701	tai	4
14702	zhou	4
14703	yin	3
14704	sao	1
14705	fei	3
14706	chen	1
14707	yuan	2
14708	yi	2
14709	hun	4
14710	se	4
14711	ye	4
14712	min	3
14713	fen	3
14714	he	2
14716	yin	4
14717	ce	4
14718	ni	4
14719	ao	4
14720	feng	2
14721	lian	2
14722	chang	2
14723	chan	3
14724	ma	2
14725	die	1
14726	hu	1
14727	lu	4
14729	yi	4
14730	hua	2
14731	zha	1
